restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad,item_id,protein_per_100cal,fat_per_100cal,carb_per_100cal,sodium_load_pct,health_score,healthy_trap,meal_category,calorie_band
Mcdonalds,Artisan Grilled Chicken Sandwich,380,60,7,2.0,0.0,95,1110,44,3.0,11,37.0,4.0,20.0,20.0,Other,1,9.74,1.84,11.58,48.26,61.23,0,Main,Medium (300-600)
Mcdonalds,Single Bacon Smokehouse Burger,840,410,45,17.0,1.5,130,1580,62,2.0,18,46.0,6.0,20.0,20.0,Other,2,5.48,5.36,7.38,68.7,43.27,0,Main,High (600-900)
Mcdonalds,Double Bacon Smokehouse Burger,1130,600,67,27.0,3.0,220,1920,63,3.0,18,70.0,10.0,20.0,50.0,Other,3,6.19,5.93,5.58,83.48,34.77,0,Main,Very High (900+)
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280,31,10.0,0.5,155,1940,62,2.0,18,55.0,6.0,25.0,20.0,Other,4,7.33,4.13,8.27,84.35,47.66,0,Main,High (600-900)
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410,45,12.0,0.5,120,1980,81,4.0,18,46.0,6.0,20.0,20.0,Other,5,5.0,4.89,8.8,86.09,43.61,0,Main,Very High (900+)
Mcdonalds,Big Mac,540,250,28,10.0,1.0,80,950,46,3.0,9,25.0,10.0,2.0,15.0,Other,6,4.63,5.19,8.52,41.3,51.47,0,Other,Medium (300-600)
Mcdonalds,Cheeseburger,300,100,12,5.0,0.5,40,680,33,2.0,7,15.0,10.0,2.0,10.0,Other,7,5.0,4.0,11.0,29.57,57.13,0,Main,Low (<300)
Mcdonalds,Classic Chicken Sandwich,510,210,24,4.0,0.0,65,1040,49,3.0,6,25.0,0.0,4.0,2.0,Other,8,4.9,4.71,9.61,45.22,55.33,0,Main,Medium (300-600)
Mcdonalds,Double Cheeseburger,430,190,21,11.0,1.0,85,1040,35,2.0,7,25.0,20.0,4.0,15.0,Other,9,5.81,4.88,8.14,45.22,51.38,0,Main,Medium (300-600)
Mcdonalds,Double Quarter Pounder® with Cheese,770,400,45,21.0,2.5,175,1290,42,3.0,10,51.0,20.0,6.0,20.0,Other,10,6.62,5.84,5.45,56.09,43.58,0,Other,High (600-900)
Mcdonalds,Filet-O-Fish®,380,170,18,4.0,0.0,40,640,38,2.0,5,15.0,2.0,0.0,15.0,Other,11,3.95,4.74,10.0,27.83,57.01,0,Other,Medium (300-600)
Mcdonalds,Garlic White Cheddar Burger,620,300,34,13.0,1.5,95,790,48,3.0,11,32.0,10.0,10.0,35.0,Other,12,5.16,5.48,7.74,34.35,50.98,0,Main,High (600-900)
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180,20,7.0,0.0,125,1150,48,3.0,11,42.0,10.0,20.0,35.0,Other,13,7.92,3.77,9.06,50.0,55.61,0,Main,Medium (300-600)
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300,34,9.0,0.0,85,1190,67,5.0,11,33.0,10.0,15.0,35.0,Other,14,4.71,4.86,9.57,51.74,50.65,0,Main,High (600-900)
Mcdonalds,Hamburger,250,70,8,3.0,0.0,30,480,31,2.0,6,13.0,2.0,2.0,4.0,Other,15,5.2,3.2,12.4,20.87,60.05,0,Main,Low (<300)
Mcdonalds,Lobster Roll,290,50,5,1.5,0.0,65,630,35,2.0,3,24.0,4.0,6.0,15.0,Other,16,8.28,1.72,12.07,27.39,63.26,0,Other,Low (<300)
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330,36,14.0,1.5,110,1260,40,3.0,10,37.0,6.0,15.0,15.0,Other,17,5.78,5.62,6.25,54.78,47.8,0,Main,High (600-900)
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190,21,8.0,0.0,135,1890,50,3.0,14,48.0,4.0,30.0,30.0,Other,18,8.28,3.62,8.62,82.17,50.37,0,Main,Medium (300-600)
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310,35,9.0,0.5,95,1780,69,5.0,14,39.0,4.0,20.0,290.0,Other,19,5.27,4.73,9.32,77.39,47.31,0,Main,High (600-900)
Mcdonalds,McChicken,350,130,15,3.5,0.0,40,600,40,2.0,5,15.0,2.0,2.0,4.0,Other,20,4.29,4.29,11.43,26.09,57.98,0,Other,Medium (300-600)
Mcdonalds,McDouble,380,160,18,8.0,1.0,70,840,34,2.0,7,23.0,10.0,2.0,10.0,Other,21,6.05,4.74,8.95,36.52,55.05,0,Other,Medium (300-600)
Mcdonalds,McRib,480,200,22,7.0,0.0,80,870,45,2.0,12,25.0,2.0,2.0,6.0,Other,22,5.21,4.58,9.38,37.83,54.68,0,Other,Medium (300-600)
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300,33,12.0,1.5,95,920,41,4.0,7,29.0,8.0,15.0,15.0,Other,23,5.0,5.69,7.07,40.0,50.65,0,Main,Medium (300-600)
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160,18,6.0,0.0,115,1540,50,4.0,12,40.0,8.0,25.0,30.0,Other,24,7.69,3.46,9.62,66.96,53.48,0,Main,Medium (300-600)
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280,32,7.0,0.0,80,1430,69,6.0,12,31.0,8.0,15.0,30.0,Other,25,4.56,4.71,10.15,62.17,50.3,0,Main,High (600-900)
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,23,5.0,0.0,60,1050,64,4.0,11,28.0,4.0,10.0,20.0,Other,26,4.91,4.04,11.23,45.65,54.58,0,Main,Medium (300-600)
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200,22,4.0,0.0,45,1000,59,3.0,13,25.0,6.0,10.0,20.0,Other,27,4.72,4.15,11.13,43.48,55.41,0,Main,Medium (300-600)
Mcdonalds,Quarter Pounder® with Cheese,530,240,27,13.0,1.5,100,1090,41,3.0,10,31.0,20.0,6.0,15.0,Other,28,5.85,5.09,7.74,47.39,49.7,0,Other,Medium (300-600)
Mcdonalds,Signature Sriracha Burger,670,320,35,12.0,1.5,95,1010,56,4.0,13,32.0,20.0,15.0,30.0,Other,29,4.78,5.22,8.36,43.91,49.83,0,Main,High (600-900)
